county_norm,lat,lon
Anderson,31.775312,-95.683934
Andrews,32.321401,-102.539607
Angelina,31.313526,-94.716132
Aransas,28.030687,-97.072506
Archer,33.712813,-98.607348
Armstrong,35.092208,-101.392108
Atascosa,29.041628,-98.578427
Austin,29.850973,-96.219899
Bailey,34.218733,-102.744103
Bandera,29.703518,-99.031596
Bastrop,30.142585,-97.366668
Baylor,33.591163,-99.264553
Bee,28.395559,-97.733787
Bell,31.08149,-97.591674
Bexar,29.484685,-98.532945
Blanco,30.177148,-98.39208
Borden,32.757641,-101.436493
Bosque,31.862115,-97.570902
Bowie,33.436613,-94.20082
Brazoria,29.355331,-95.385044
Brazos,30.624157,-96.328757
Brewster,30.222448,-103.620129
Briscoe,34.443465,-101.234309
Brooks,27.208714,-98.144842
Brown,31.731619,-98.989268
Burleson,30.475618,-96.644593
Burnet,30.672177,-98.241706
Caldwell,29.865312,-97.674628
Calhoun,28.589157,-96.625881
Callahan,32.351779,-99.452875
Cameron,26.047418,-97.561196
Camp,32.990171,-94.985027
Carson,35.382121,-101.328264
Cass,33.080612,-94.297274
Castro,34.525081,-102.272214
Chambers,29.805419,-94.768972
Cherokee,31.913488,-95.216202
Childress,34.428092,-100.223958
Clay,33.825391,-98.244798
Cochran,33.689389,-102.741038
Coke,31.904116,-100.416634
Coleman,31.808131,-99.425034
Collin,33.112899,-96.690642
Collingsworth,34.861822,-100.221748
Colorado,29.664806,-96.538931
Comal,29.764473,-98.22166
Comanche,31.972232,-98.559029
Concho,31.291192,-99.857069
Cooke,33.607384,-97.13379
Coryell,31.236375,-97.83252
Cottle,34.02779,-100.30428
Crane,31.402296,-102.352663
Crockett,30.704747,-101.216615
Crosby,33.660414,-101.357576
Culberson,31.064217,-104.819502
Dallam,36.104995,-102.568672
Dallas,32.809819,-96.787649
Dawson,32.734655,-101.949301
Deaf Smith,34.835619,-102.402802
Delta,33.374802,-95.70459
Denton,33.116408,-97.014655
Dewitt,29.099569,-97.31152
Dickens,33.5467,-100.855931
Dimmit,28.520685,-99.826991
Donley,34.943929,-100.862317
Duval,27.742533,-98.391035
Eastland,32.357306,-98.845399
Ector,31.866684,-102.389586
Edwards,29.985934,-100.202797
Ellis,32.429032,-96.828008
El Paso,31.783025,-106.365548
Erath,32.21206,-98.225168
Falls,31.260935,-96.951052
Fannin,33.556926,-96.181312
Fayette,29.856137,-96.901177
Fisher,32.770889,-100.413975
Floyd,34.039808,-101.374427
Foard,33.99161,-99.705226
Fort Bend,29.620209,-95.681282
Franklin,33.122067,-95.223923
Freestone,31.700054,-96.20929
Frio,28.839468,-99.108503
Gaines,32.751995,-102.658045
Galveston,29.428137,-95.019324
Garza,33.197542,-101.380565
Gillespie,30.273641,-98.908076
Glasscock,31.8426,-101.525278
Goliad,28.710579,-97.362276
Gonzales,29.477178,-97.504312
Gray,35.530415,-100.939889
Grayson,33.644861,-96.626605
Gregg,32.49989,-94.790846
Grimes,30.439295,-96.007289
Guadalupe,29.601993,-98.107377
Hale,34.143518,-101.742413
Hall,34.664744,-100.592641
Hamilton,31.763001,-98.095686
Hansford,36.213672,-101.271246
Hardeman,34.285182,-99.701429
Hardin,30.29938,-94.25717
Harris,29.816889,-95.425716
Harrison,32.534326,-94.427274
Hartley,35.994603,-102.50231
Haskell,33.177505,-99.764733
Hays,30.009405,-97.925385
Hemphill,35.893039,-100.360755
Henderson,32.241331,-95.889359
Hidalgo,26.235916,-98.184508
Hill,31.998194,-97.17713
Hockley,33.583536,-102.333262
Hood,32.434349,-97.76226
Hopkins,33.124495,-95.589265
Houston,31.297879,-95.466359
Howard,32.241408,-101.463071
Hudspeth,31.368286,-105.546009
Hunt,33.082058,-96.104497
Hutchinson,35.679194,-101.44712
Irion,31.270407,-100.834684
Jack,33.200241,-98.168766
Jackson,28.959201,-96.594369
Jasper,30.731569,-93.993279
Jeff Davis,30.608875,-103.99692
Jefferson,30.01146,-94.067627
Jim Hogg,27.303139,-98.685247
Jim Wells,27.755632,-98.062817
Johnson,32.441328,-97.322751
Jones,32.706551,-99.80506
Karnes,28.85811,-97.870329
Kaufman,32.671244,-96.358092
Kendall,29.831401,-98.717572
Kenedy,27.104123,-97.788911
Kent,33.25047,-100.625144
Kerr,30.040273,-99.159357
Kimble,30.486259,-99.727741
King,33.644368,-100.29575
Kinney,29.303419,-100.41821
Kleberg,27.491433,-97.856967
Knox,33.459835,-99.703999
Lamar,33.675491,-95.534041
Lamb,34.028312,-102.324682
Lampasas,31.095229,-98.1132
La Salle,28.353424,-99.246365
Lavaca,29.407088,-97.04381
Lee,30.274826,-96.971427
Leon,31.291285,-96.04831
Liberty,30.159245,-94.925523
Limestone,31.59043,-96.519096
Lipscomb,36.386639,-100.363063
Live Oak,28.336604,-98.108137
Llano,30.680229,-98.508665
Loving,31.777896,-103.608978
Lubbock,33.552551,-101.894337
Lynn,33.199122,-101.817174
Mcculloch,31.148033,-99.338842
Mclennan,31.53998,-97.174773
Mcmullen,28.438706,-98.523036
Madison,30.955832,-95.899678
Marion,32.789481,-94.423174
Martin,32.173602,-101.8275
Mason,30.754424,-99.220235
Matagorda,28.918149,-95.998903
Maverick,28.706412,-100.478172
Medina,29.313933,-98.953359
Menard,30.901087,-99.776701
Midland,32.003156,-102.10655
Milam,30.744263,-97.008624
Mills,31.483977,-98.578378
Mitchell,32.392285,-100.864009
Montague,33.632783,-97.760712
Montgomery,30.228848,-95.462136
Moore,35.902872,-101.956502
Morris,33.073156,-94.72288
Motley,34.013578,-100.842931
Nacogdoches,31.625667,-94.644584
Navarro,32.081317,-96.485996
Newton,30.685761,-93.754831
Nolan,32.451081,-100.411741
Nueces,27.728576,-97.428318
Ochiltree,36.381051,-100.810093
Oldham,35.291939,-102.40757
Orange,30.120218,-93.865826
Palo Pinto,32.779308,-98.163963
Panola,32.163354,-94.335132
Parker,32.789424,-97.727364
Parmer,34.540661,-102.815696
Pecos,30.89706,-102.79926
Polk,30.736484,-94.936813
Potter,35.221526,-101.839818
Presidio,29.838522,-104.249357
Rains,32.885663,-95.795059
Randall,35.119788,-101.891409
Reagan,31.214335,-101.466333
Real,29.723692,-99.823692
Red River,33.591924,-95.078313
Reeves,31.387128,-103.526322
Refugio,28.290523,-97.247591
Roberts,35.716278,-100.695549
Robertson,30.966033,-96.543247
Rockwall,32.916866,-96.427986
Runnels,31.79918,-99.99361
Rusk,32.194387,-94.798485
Sabine,31.339019,-93.84941
